"name","id","tweet","profile_pic_url","timing_of_tweet","no_of_replys","no_of_likes","no_of_retweets"
"Benjamin Netanyahu - בנימין נתניהו","@netanyahu","My dear friend 
@narendramodi
, Prime Minister of India, please accept my deepest condolences on the passing of your beloved mother. May she rest in peace and may you find solace in her memory and the rich heritage she bequeathed to you and many others.","https://pbs.twimg.com/profile_images/1096353845809238016/ds_-S78p_normal.jpg","6h","372","40.6K","4,358"
"Narendra Modi","@narendramodi","The Joka-Taratala Stretch of the Kolkata Metro’s Purple Line will particularly benefit those living in Southern Kolkata. This project is in line with our endeavour to improve urban infrastructure.","https://pbs.twimg.com/profile_images/1565985672501927936/d-r-h241_normal.jpg","6h","242","15.9K","2,571"
"Narendra Modi","@narendramodi","The Vande Bharat Express between Howrah to New Jalpaiguri will improve connectivity and provide greater opportunities for economic growth and tourism. Glad to have flagged off this train.","https://pbs.twimg.com/profile_images/1565985672501927936/d-r-h241_normal.jpg","6h","259","21.6K","2,743"
"Narendra Modi","@narendramodi","Distressed by the accident of noted cricketer Rishabh Pant. I pray for his good health and well-being. 
@RishabhPant17","https://pbs.twimg.com/profile_images/1565985672501927936/d-r-h241_normal.jpg","6h","1,298","113.5K","10.3K"
"OpIndia.com","@OpIndia_com","Remembering Heeraben Modi: The pillar in the life of PM Narendra Modi","https://pbs.twimg.com/profile_images/1053913042176495616/zz0ZWkjl_normal.jpg","1h","3","147","25"
"BJP","@BJP4India","For a 'Yuva Country' like India, even the Railway sector is taking the 'Yuva Avatar'. 

This will be ensured through significant role played by over 475 Vande Bharat trains operational in the country.

- PM 
@narendramodi","https://pbs.twimg.com/profile_images/1566779451572383749/SNvXtQQh_normal.jpg","7h","7","693","299"
"Modi Archive","@modiarchive","PM Modi's sanskars reflect the values of his mother.

In 2014, when Modi sought his mother’s blessings on his 64th birthday, she surprised him by giving him Rs 5,001 - something which she had never done before

This sum, she said, was meant for Jammu & Kashmir flood relief fund.","https://pbs.twimg.com/profile_images/1566070216341475328/bSR8WAEi_normal.jpg","7h","13","2,147","550"
"BJP","@BJP4India","Here are the results of the Modi govt's concerted efforts!

#NamamiGange","https://pbs.twimg.com/profile_images/1566779451572383749/SNvXtQQh_normal.jpg","3h","3","349","200"
"Amit Shah","@AmitShah","The Siddaramaiah govt withdrew cases against 1700 PFI members but the Modi govt banned the PFI and put all the anti-national elements behind the bars.","https://pbs.twimg.com/profile_images/1570349833277546497/I-SK-za7_normal.jpg","5h","39","1,980","558"
"BJP","@BJP4India","For a 'Yuva Country' like India, even the Railway sector is taking the 'Yuva Avatar'. 

This will be ensured through significant role played by over 475 Vande Bharat trains operational in the country.

- PM 
@narendramodi","https://pbs.twimg.com/profile_images/1566779451572383749/SNvXtQQh_normal.jpg","7h","7","693","299"
"Modi Archive","@modiarchive","PM Modi's sanskars reflect the values of his mother.

In 2014, when Modi sought his mother’s blessings on his 64th birthday, she surprised him by giving him Rs 5,001 - something which she had never done before

This sum, she said, was meant for Jammu & Kashmir flood relief fund.","https://pbs.twimg.com/profile_images/1566070216341475328/bSR8WAEi_normal.jpg","7h","13","2,147","550"
"BJP","@BJP4India","Here are the results of the Modi govt's concerted efforts!

#NamamiGange","https://pbs.twimg.com/profile_images/1566779451572383749/SNvXtQQh_normal.jpg","3h","3","349","200"
"Amit Shah","@AmitShah","The Siddaramaiah govt withdrew cases against 1700 PFI members but the Modi govt banned the PFI and put all the anti-national elements behind the bars.","https://pbs.twimg.com/profile_images/1570349833277546497/I-SK-za7_normal.jpg","5h","39","1,980","558"
"Dr. Syed Rizwan Ahmed","@Dr_RizwanAhmed","“Please take some rest…”
: #MamataBanerjee urges PM 
@narendramodi
 after his mother’s demise! ","https://pbs.twimg.com/profile_images/1605931185057644546/Za58xkdV_normal.jpg","1h","16","107","16"
"Viक़as","@VlKASPR0NAM0","Kashmiri Hindu PM Package employees pay their tributes to Late Maa Heeraben Modi ji at Jammu ","https://pbs.twimg.com/profile_images/1588585572041654272/gak-dxMq_normal.jpg","3h","2","802","93"
"Rishabh pant fans club","@rishabpantclub","Prime minister modi prays for Rishabh pant's good health despite being in himself in a  tough situation. 

Luv you Modi ji","https://pbs.twimg.com/profile_images/1603787412412706817/MJ2vhUFO_normal.jpg","5h","45","493","45"
"Singapore in India","@SGinIndia"," Prime Minister Lee Hsien Loong has written to PM 
@narendramodi
 to express condolences on the passing of Mdm Heeraben Modi. #hiraben See below for the text:","https://pbs.twimg.com/profile_images/1321399239428042752/7IaOCEjf_normal.jpg","4h","6","1,762","156"
"Rohini Anand","@miss_roh08","Why has Modiji become the railway flagman today?
Looks like Modi ji wasn't allowed to mourn his mother's death even for a day indeed I guess. As someone mentioned.","https://pbs.twimg.com/profile_images/1607296914718068738/sdy-cgOn_normal.jpg","6h","27","178","83"
"Vanathi Srinivasan","@VanathiBJP","Paid tributes to mother of our Hon’ble PM Shri ⁦
@narendramodi
⁩ Ji along with people of my constituency at Coimbatore. 

Her simplicity and values are liked by people across the country. This is how an artists paid his tributes to her.","https://pbs.twimg.com/profile_images/1561376002982326272/kOt98yJf_normal.jpg","5h","14","850","192"
"حسن سجواني ","@HSajwanization","President Sheikh Mohamed bin Zayed  : I offer my deepest condolences to my dear friend Prime Minister 
@narendramodi
 on the passing of his mother, Heeraben Modi. Our heartfelt sympathies are with him and his family during this difficult time.","https://pbs.twimg.com/profile_images/1525434442021539842/99GMvtNA_normal.jpg","2h","10","1,198","128"
"CricketMAN2","@ImTanujSingh","India's prime minister Narendra Modi said - "I pray for Rishabh Pant's good health and well being".","https://pbs.twimg.com/profile_images/1549577867909926913/hanRgFgo_normal.jpg","6h","127","2,919","127"
"Zahack Tanvir - ضحاك تنوير","@zahacktanvir","Saudi Arabia’s Al-Watan Journalist 
@saudrehman27
 on the demise of PM Modi’s Mother.","https://pbs.twimg.com/profile_images/1603626502716882945/ogQqln1X_normal.jpg","6h","4","522","59"
"ANI","@ANI","PM Narendra Modi has spoken with cricketer #RishabhPant's mother and inquired about his health following his car accident on the Delhi-Dehradun highway near the Roorkee border today morning

(file photos)","https://pbs.twimg.com/profile_images/1497864299/ani_mic_logo_normal.jpg","3h","52","5,489","389"